基金代码,基金名称,7日年化,14日年化,28日年化,日期
004473,前海开源尊享货币A,%,%,%,2019-07-17
004474,前海开源尊享货币B,%,%,%,2019-07-17
260202,景顺货币B,2.944%,2.7666%,2.186%,2019-07-17
260102,景顺货币A,2.697%,2.5189%,1.9395%,2019-07-17
005135,长信长金通货币B,3.198%,2.5871%,2.5076%,2019-07-17
005134,长信长金通货币A,3.051%,2.4416%,2.3643%,2019-07-17
000540,国金金腾通货币A,3.11%,2.6697%,2.6929%,2019-07-17
710502,富安达现金通货币B,3.451%,2.9188%,2.7411%,2019-07-17
710501,富安达现金通货币A,3.203%,2.672%,2.494%,2019-07-17
001527,鑫元安鑫宝货币B,2.463%,2.2224%,2.5333%,2019-07-17
001234,国金众赢货币,2.97%,3.007%,2.9599%,2019-07-17
482002,工银货币,2.911%,2.7883%,2.7244%,2019-07-17
000982,北信瑞丰现金添利B,2.78%,2.2578%,2.1881%,2019-07-17
000981,北信瑞丰现金添利A,2.528%,2.0095%,1.9414%,2019-07-17
003317,中银证券现金管家货币B,2.837%,2.6574%,2.6154%,2019-07-17
001386,天弘弘运宝货币A,2.837%,2.7377%,2.7985%,2019-07-17
070088,嘉实货币B,2.779%,2.6801%,2.7161%,2019-07-17
000707,景顺长城景丰货币B,2.87%,2.6454%,2.7518%,2019-07-17
003316,中银证券现金管家货币A,2.589%,2.4104%,2.3708%,2019-07-17
001812,嘉实货币E,2.537%,2.4357%,2.4706%,2019-07-17
001391,天弘弘运宝货币B,2.581%,2.4809%,2.5415%,2019-07-17
070008,嘉实货币A,2.532%,2.4334%,2.4692%,2019-07-17
000701,景顺长城景丰货币A,2.629%,2.4052%,2.5119%,2019-07-17
202308,南方收益宝货币B,2.671%,2.6888%,2.7405%,2019-07-17
004971,南方天天宝货币B,2.872%,2.9003%,2.9422%,2019-07-17
660107,农银货币B,2.523%,2.4485%,2.5589%,2019-07-17
519998,长信利息收益货币B,2.781%,2.6329%,2.4533%,2019-07-17
003712,泰达宏利京元宝货币B,2.638%,2.626%,2.6935%,2019-07-17
004568,长城工资宝货币B,2.739%,2.8156%,2.8625%,2019-07-17
202307,南方收益宝货币A,2.424%,2.4427%,2.4931%,2019-07-17
675072,西部利得天添金货币B,2.98%,2.9775%,3.2654%,2019-07-17
003994,华富货币B,2.484%,2.461%,2.4408%,2019-07-17
004970,南方天天宝货币A,2.627%,2.6547%,2.6965%,2019-07-17
004417,兴全货币B,2.774%,2.7726%,2.8757%,2019-07-17
660007,农银货币A,2.277%,2.2026%,2.3127%,2019-07-17
001821,兴全天添益货币B,2.785%,2.8014%,2.8864%,2019-07-17
003468,富荣货币B,2.385%,2.3297%,2.4302%,2019-07-17
750007,安信现金管理货币B,2.491%,2.4151%,2.5019%,2019-07-17
460106,华泰柏瑞货币B,2.535%,2.5548%,2.5774%,2019-07-17
519999,长信利息收益货币A,2.535%,2.3866%,2.2163%,2019-07-17
004973,长城收益宝货币B,2.99%,3.1065%,3.1907%,2019-07-17
004545,永赢天天利货币,2.611%,2.6433%,2.7567%,2019-07-17
213909,宝盈货币B,2.584%,2.473%,2.6317%,2019-07-17
004553,中信建投凤凰货币B,2.503%,2.3789%,2.5338%,2019-07-17
000735,博时天天增利货币B,2.779%,2.9332%,2.7874%,2019-07-17
003711,泰达宏利京元宝货币A,2.391%,2.3795%,2.4469%,2019-07-17
000700,泰达宏利货币B,2.831%,2.8788%,3.1267%,2019-07-17
000615,长城工资宝货币A,2.549%,2.6225%,2.6683%,2019-07-17
003538,招商招利宝货币B,2.767%,2.7599%,2.8274%,2019-07-17
001871,前海开源货币B,2.317%,2.2336%,2.3905%,2019-07-17
004167,安信活期宝货币B,2.898%,2.8414%,2.9424%,2019-07-17
675032,西部利得天添鑫货币B,2.881%,3.0026%,3.1066%,2019-07-17
002673,诺德货币B,2.308%,2.208%,2.3488%,2019-07-17
001820,兴全天添益货币A,2.53%,2.5503999999999998%,2.6402%,2019-07-17
000648,易方达财富快线货币B,2.825%,2.8332%,2.8618%,2019-07-17
410002,华富货币A,2.244%,2.2213%,2.2005%,2019-07-17
004217,兴业安润货币B,2.564%,2.5644%,2.6134%,2019-07-17
675071,西部利得天添金货币A,2.73%,2.7127%,3.0123%,2019-07-17
340005,兴全货币A,2.534%,2.5323%,2.6352%,2019-07-17
005230,长盛货币B,2.445%,2.3885%,2.4697%,2019-07-17
003474,南方天天利货币B,2.864%,2.9068%,2.9545%,2019-07-17
003535,浦银安盛日日丰货币B,3.445%,3.1093%,3.167%,2019-07-17
003467,富荣货币A,2.143%,2.0862%,2.1855%,2019-07-17
001982,富国收益宝交易型货币B,2.515%,2.5087%,2.649%,2019-07-17
003022,建信现金添益货币A,2.689%,2.7284%,2.8143%,2019-07-17
750006,安信现金管理货币A,2.242%,2.167%,2.2567%,2019-07-17
001176,山证日日添利货币B,2.766%,2.7871%,2.8163%,2019-07-17
000797,方正富邦金小宝货币,2.666%,2.6656%,2.7836%,2019-07-17
000010,易方达天天理财货币B,2.765%,2.7919%,2.828%,2019-07-17
004863,泰康现金管家货币C,2.367%,2.2642%,2.5506%,2019-07-17
004862,泰康现金管家货币B,2.367%,2.2641%,2.5507%,2019-07-17
000734,博时天天增利货币A,2.587%,2.7284%,2.5617%,2019-07-17
000716,工银薪金货币B,2.8%,2.7513%,2.8689%,2019-07-17
460006,华泰柏瑞货币A,2.291%,2.3099%,2.3324%,2019-07-17
